Race_ID,Driver,LapNumber,Finishing_Tier,GridPosition,Tire_Age,Fuel_Mass_Proxy,Degradation_x_Fuel,Tire_MEDIUM,Tire_SOFT
2023_Bahrain,LEC,11.0,No Points,3.0,11.0,88.7719298245614,-128.89670808966864,0,1
2023_Bahrain,LEC,12.0,No Points,3.0,12.0,86.84210526315789,-90.44774122807019,0,1
2023_Bahrain,LEC,13.0,No Points,3.0,13.0,84.91228070175438,-55.85842348927876,0,1
2023_Bahrain,LEC,14.0,No Points,3.0,1.0,82.98245614035088,-376.1812110136454,0,0
2023_Bahrain,LEC,15.0,No Points,3.0,2.0,81.05263157894737,-324.22347222222237,0,0
2023_Bahrain,LEC,16.0,No Points,3.0,3.0,79.12280701754386,-276.1253825536064,0,0
2023_Bahrain,LEC,17.0,No Points,3.0,4.0,77.19298245614036,-231.88694200779744,0,0
2023_Bahrain,LEC,18.0,No Points,3.0,5.0,75.26315789473685,-191.50815058479552,0,0
2023_Bahrain,LEC,19.0,No Points,3.0,6.0,73.33333333333334,-154.98900828460057,0,0
2023_Bahrain,LEC,20.0,No Points,3.0,7.0,71.40350877192982,-122.32951510721254,0,0
2023_Bahrain,LEC,21.0,No Points,3.0,8.0,69.47368421052632,-93.52967105263166,0,0
2023_Bahrain,LEC,22.0,No Points,3.0,9.0,67.54385964912281,-68.58947612085777,0,0
2023_Bahrain,LEC,23.0,No Points,3.0,10.0,65.6140350877193,-47.50893031189091,0,0
2023_Bahrain,LEC,24.0,No Points,3.0,11.0,63.68421052631579,-30.288033625731032,0,0
2023_Bahrain,LEC,25.0,No Points,3.0,12.0,61.75438596491228,-16.926786062378202,0,0
2023_Bahrain,LEC,26.0,No Points,3.0,13.0,59.824561403508774,-7.425187621832384,0,0
2023_Bahrain,LEC,27.0,No Points,3.0,14.0,57.89473684210526,-1.7832383040935746,0,0
2023_Bahrain,LEC,28.0,No Points,3.0,15.0,55.96491228070175,-0.0009381091617926517,0,0
2023_Bahrain,LEC,29.0,No Points,3.0,16.0,54.03508771929825,-2.078287037037024,0,0
2023_Bahrain,LEC,30.0,No Points,3.0,17.0,52.10526315789474,-8.015285087719269,0,0
2023_Bahrain,LEC,31.0,No Points,3.0,18.0,50.175438596491226,-17.81193226120855,0,0
2023_Bahrain,LEC,32.0,No Points,3.0,19.0,48.24561403508772,-31.46822855750483,0,0
2023_Bahrain,LEC,33.0,No Points,3.0,20.0,46.31578947368421,-48.98417397660812,0,0
2023_Bahrain,LEC,34.0,No Points,3.0,1.0,44.3859649122807,161.4893542884989,0,0
2023_Bahrain,LEC,35.0,No Points,3.0,2.0,42.45614035087719,174.8506018518517,0,0
2023_Bahrain,LEC,36.0,No Points,3.0,3.0,40.526315789473685,184.35220029239753,0,0
2023_Bahrain,LEC,37.0,No Points,3.0,4.0,38.59649122807018,189.9941496101363,0,0
2023_Bahrain,LEC,38.0,No Points,3.0,5.0,36.66666666666667,191.77644980506807,0,0
2023_Bahrain,LEC,39.0,No Points,3.0,6.0,34.736842105263165,189.69910087719282,0,0
2023_Bahrain,STR,1.0,Point Scorer,8.0,4.0,108.0701754385965,-569.3918153021444,0,1
2023_Bahrain,STR,2.0,Point Scorer,8.0,5.0,106.14035087719299,-498.1358308966863,0,1
2023_Bahrain,STR,3.0,Point Scorer,8.0,6.0,104.21052631578948,-430.7394956140352,0,1
2023_Bahrain,STR,4.0,Point Scorer,8.0,7.0,102.28070175438596,-367.2028094541911,0,1
